"id","name","symbol","rank","price_usd","price_btc","24h_volume_usd","market_cap_usd","available_supply","total_supply","max_supply","percent_change_1h","percent_change_24h","percent_change_7d","last_updated"
"bitcoin","Bitcoin","BTC","1","7324.57","1.0","4586160000.0","125702710207","17161787.0","17161787.0","21000000.0","0.18","-1.91","17.18","1532175503"
"ethereum","Ethereum","ETH","2","458.146","0.0626208","1714300000.0","46193433539.0","100826884.0","100826884.0",NA,"0.98","-1.3","5.25","1532175511"
"ripple","XRP","XRP","3","0.449128","0.00006139","253615000.0","17657774288.0","39315683476.0","99991900487.0","100000000000","0.21","-2.35","2.72","1532175499"
"bitcoin-cash","Bitcoin Cash","BCH","4","775.428","0.105988","577222000.0","13375580508.0","17249288.0","17249288.0","21000000.0","1.13","-2.81","11.23","1532175515"
"eos","EOS","EOS","5","7.9568","0.00108756","703559000.0","7130482279.0","896149492.0","900000000.0","1000000000.0","1.06","-4.68","14.49","1532175515"
"stellar","Stellar","XLM","6","0.275322","0.00003763","119418000.0","5166894703.0","18766733871.0","104125061584",NA,"0.23","-4.09","37.1","1532175504"
"litecoin","Litecoin","LTC","7","82.6679","0.0112993","271015000.0","4753532968.0","57501557.0","57501557.0","84000000.0","0.68","-2.9","7.82","1532175489"
"cardano","Cardano","ADA","8","0.162345","0.00002219","177873000.0","4209130266.0","25927070538.0","31112483745.0","45000000000.0","0.91","-8.19","19.29","1532175517"
"iota","IOTA","MIOTA","9","0.991868","0.00013557","37665800.0","2756927143.0","2779530283.0","2779530283.0","2779530283.0","0.53","-2.23","2.67","1532175512"
"tether","Tether","USDT","10","0.998664","0.0001365","2727770000.0","2653590406.0","2657140346.0","3080109502.0",NA,"-0.12","0.01","-0.28","1532175506"
"tron","TRON","TRX","11","0.0350209","0.00000479","208413000.0","2302558043.0","65748111645.0","99000000000.0",NA,"0.59","-3.9","6.01","1532175518"
"neo","NEO","NEO","12","32.8552","0.00449074","87615000.0","2135588000.0","65000000.0","100000000.0","100000000.0","0.19","-5.65","1.93","1532175512"
"monero","Monero","XMR","13","129.432","0.0176911","31330400.0","2102628886.0","16245047.0","16245047.0",NA,"0.54","-5.18","6.05","1532175528"
"dash","Dash","DASH","14","243.765","0.0333186","153179000.0","2000523336.0","8206770.0","8206770.0","18900000.0","0.59","-11.37","10.3","1532175506"
"ethereum-classic","Ethereum Classic","ETC","15","16.3224","0.002231","186043000.0","1684303021.0","103189667.0","103189667.0",NA,"1.05","-3.57","0.34","1532175511"
"nem","NEM","XEM","16","0.16894","0.00002309","11006000.0","1520460000.0","8999999999.0","8999999999.0",NA,"0.38","-5.15","6.31","1532175508"
"tezos","Tezos","XTZ","17","2.10928","0.0002883","3271290.0","1281364484.0","607489041.0","763306930.0",NA,"-0.63","-2.34","7.76","1532175514"
"binance-coin","Binance Coin","BNB","18","12.0029","0.0016406","31222300.0","1146427264.0","95512523.0","192443301.0",NA,"0.52","-3.03","-0.63","1532175514"
"vechain","VeChain","VEN","19","1.79652","0.00024555","40012300.0","996252070.0","554545494.0","873378637.0",NA,"0.92","9.3","-5.49","1532175515"
"omisego","OmiseGO","OMG","20","6.86767","0.00093869","26559100.0","963159114.0","140245398.0","140245398.0",NA,"0.21","-4.48","1.45","1532175519"
"zcash","Zcash","ZEC","21","181.337","0.0247856","47895100.0","798103804.0","4401219.0","4401219.0",NA,"-0.4","-7.05","4.24","1532175508"
"qtum","Qtum","QTUM","22","7.75279","0.00105967","209312000.0","687397373.0","88664516.0","100664516.0",NA,"0.52","-5.46","1.69","1532175511"
"0x","0x","ZRX","23","1.09925","0.00015025","22608000.0","589089482.0","535901280.0","1000000000.0",NA,"0.56","-5.74","14.52","1532175516"
"decred","Decred","DCR","24","71.861","0.00982217","2964590.0","582128742.0","8100760.0","8100760.0","21000000.0","0.37","-1.12","27.05","1532175508"
"bytecoin-bcn","Bytecoin","BCN","25","0.00309359","0.00000042","6745530.0","568881754.0","183890481254","183890481254","184470000000","0.3","-2.58","8.29","1532175506"
"zilliqa","Zilliqa","ZIL","26","0.0717934","0.00000981","26209500.0","543921320.0","7576202268.0","12600000000.0",NA,"0.48","-4.72","7.76","1532175523"
